case_diary_number,case_recno,case_start,case_closed,case_title,document_date,document_description,document_category,inspection_result_wording,classification,asset_type,asset_identifiers,asset_count,property_designation,address,district,later_approved_in_case,source_case_url
2026-12761,1324188,2026-07-20,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-20,"Intyg återkommande besiktning, ej godkänt, 71801",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,71801,1,Bodarne 11,Strandvägen 5A,Östermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324188?dataSource=Active
2026-12763,1324190,2026-07-20,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-20,"Intyg återkommande besiktning, ej godkänt, 42556",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,42556,1,Kattryggen 22,Brännkyrkagatan 44,Södermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324190?dataSource=Active
2026-12764,1324191,2026-07-20,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-07-20,"Intyg återkommande besiktning, ej godkänt, 2 st, 24018, 24019",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,24018 24019,2,Jupiter Mindre 14,Peter Myndes Backe 16,Södermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324191?dataSource=Active
2026-12765,1324192,2026-07-20,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-07-20,"Intyg återkommande besiktning, ej godkänt, 2 st, 46086, 49454",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,46086 49454,2,Muttern 15,"Högalidsgatan 38B, Högalidsgatan 38D",Södermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324192?dataSource=Active
2026-12766,1324193,2026-07-20,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-07-20,"Intyg återkommande besiktning, ej godkänt, 2 st, 56439, 56440",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,56439 56440,2,Trollhättan 31,Malmtorgsgatan 8,Norrmalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324193?dataSource=Active
2026-12767,1324194,2026-07-20,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-20,"Intyg återkommande besiktning, ej godkänt, 63133",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,63133,1,Trollhättan 30,Regeringsgatan 25,Norrmalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324194?dataSource=Active
2026-12770,1324197,2026-07-20,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-20,"Intyg återkommande besiktning, ej godkänt, S667649",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S667649,1,Cybele 6,Skräddargränd 3,Gamla Stan,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324197?dataSource=Active
2026-12771,1324198,2026-07-20,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-20,"Intyg återkommande besiktning, ej godkänt, L3664075",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L3664075,1,Läraren 13,Torsgatan 4,Norrmalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324198?dataSource=Active
2026-12772,1324199,2026-07-20,,Anmaning att låta åtgärda port samt utföra förnyad besiktning,2026-07-20,"Intyg återkommande besiktning, ej godkänt, L9127697",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,POWERED_GATE_OR_DOOR,L9127697,1,Sillö 6,Edsvallabacken 16,Larsboda,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324199?dataSource=Active
2026-12784,1324211,2026-07-21,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-21,"Intyg återkommande besiktning, ej godkänt, 31363",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,31363,1,Kvadraten 34,Allhelgonagatan 15,Södermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324211?dataSource=Active
2026-12785,1324212,2026-07-21,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-21,"Intyg återkommande besiktning, ej godkänt, 37512",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,37512,1,Bjälken 20,Lundagatan 31,Södermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324212?dataSource=Active
2026-12786,1324213,2026-07-21,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-21,"Intyg återkommande besiktning, ej godkänt, D1733102",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1733102,1,Norrskenet 1,Lyckebyvägen 13,Björkhagen,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324213?dataSource=Active
2025-16759,1307597,2025-10-30,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-28,"Intyg återkommande besiktning, ej godkänt, D1626677",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1626677,1,Oxford 1,Emmy Rappes Gata 3,Vasastaden,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1307597?dataSource=Active
2026-12992,1324419,2026-07-28,2026-07-28,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-07-28,"Intyg återkommande besiktning, ej godkänt, (3), D1523427, D1523428, D1523434",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1523427 D1523428 D1523434,3,Lättinge 1,"Lättingebacken 12, Lättingebacken 22, Lättingebacken 24",Tensta,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324419?dataSource=Active
2026-12993,1324420,2026-07-28,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-28,"Intyg återkommande besiktning, ej godkänt, D1626682",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1626682,1,Coimbra 1,Anna Steckséns Gata 15,Vasastaden,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324420?dataSource=Active
2026-12995,1324422,2026-07-28,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-28,"Intyg återkommande besiktning, ej godkänt, D1743273",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1743273,1,Reykjavik 1,Borgarfjordsgatan 16,Kista,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324422?dataSource=Active
2026-12996,1324423,2026-07-28,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-07-28,"Intyg återkommande besiktning, ej godkänt, (3), L2946941, L2946969, L2946987",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2946941 L2946969 L2946987,3,Snickeriet 1,"Midskeppsgatan 1, Midskeppsgatan 5, Midskeppsgatan 9",Södra Hammarbyhamnen,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324423?dataSource=Active
2026-13001,1324428,2026-07-28,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-28,"Intyg återkommande besiktning, ej godkänt, L4055075",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L4055075,1,Bergsund 78,Bergsunds Strand 23,Södermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324428?dataSource=Active
2026-13002,1324429,2026-07-28,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-28,"Intyg återkommande besiktning, ej godkänt, D1298323",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1298323,1,Skjutsgossen 12,Rosenlundsgatan 5,Södermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324429?dataSource=Active
2026-13003,1324430,2026-07-28,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-28,"Intyg återkommande besiktning, ej godkänt, L7896282",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7896282,1,Pyramiden 8,Blekingegatan 63,Södermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324430?dataSource=Active
2026-13004,1324431,2026-07-28,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-28,"Intyg återkommande besiktning, ej godkänt, D1737349",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1737349,1,Ekan 1,Fregattvägen 83,Gröndal,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324431?dataSource=Active
2026-13062,1324489,2026-07-30,,Anmaning att låta åtgärda hissasamt utföra förnyad besiktning,2026-07-30,"Intyg återkommande besiktning, ej godkänt, L2810748",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2810748,1,Kofoten 1,Heleneborgsgatan 2A,Södermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324489?dataSource=Active
2026-13066,1324493,2026-07-30,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-30,"Intyg återkommande besiktning, ej godkänt, D1607637",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1607637,1,Kryckan 6,Hägerstensvägen 104,Aspudden,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324493?dataSource=Active
2026-13089,1324516,2026-07-31,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-07-31,"Intyg återkommande besiktning, ej godkänt, L2806762",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2806762,1,Södermalm 3:1,Drakenbergsgatan 14,Södermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324516?dataSource=Active
2026-13135,1324562,2026-08-04,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-08-04,"Intyg återkommande besiktning, ej godkänt, D1539809",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1539809,1,Ville Vessla 1,Tappvägen 23,Mariehäll,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324562?dataSource=Active
2026-13169,1324596,2026-08-05,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-05,"Intyg återkommande besiktning, ej godkänt, D1733453",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1733453,1,Sidentapeten 1,Aprikosgatan 25,Hässelby Strand,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324596?dataSource=Active
2026-13170,1324597,2026-08-05,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-05,"Intyg återkommande besiktning, ej godkänt, D1726081",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1726081,1,Vårdaren 1,Söderberga Gårdsväg 37,Råcksta,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324597?dataSource=Active
2026-13171,1324598,2026-08-05,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-05,"Intyg återkommande besiktning, ej godkänt, D1600239",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1600239,1,Skolörten 1,Riddersviksvägen 130,Hässelby Villastad,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324598?dataSource=Active
2026-13173,1324600,2026-08-05,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-05,"Intyg återkommande besiktning, ej godkänt, D1539983",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1539983,1,Hemming 4,Adolf Rudbecks Väg 21,Solhem,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324600?dataSource=Active
2026-13179,1324606,2026-08-05,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-05,"Intyg återkommande besiktning, ej godkänt, S722150",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S722150,1,Torgvågen 7,Hötorget 15,Norrmalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324606?dataSource=Active
2026-13180,1324607,2026-08-05,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-05,"Intyg återkommande besiktning, ej godkänt, S833703",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S833703,1,Beridarebanan 11,Mäster Samuelsgatan 42,Norrmalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324607?dataSource=Active
2026-13181,1324608,2026-08-05,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-05,"Intyg återkommande besiktning, ej godkänt, L4051066",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L4051066,1,Falkholmen 2,Falkholmsgränd 17,Skärholmen,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324608?dataSource=Active
2026-13182,1324609,2026-08-05,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-05,"Intyg återkommande besiktning, ej godkänt, S742020",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S742020,1,Hästskon 12,Malmskillnadsgatan 9,Norrmalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324609?dataSource=Active
2026-13183,1324610,2026-08-05,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-05,"Intyg återkommande besiktning, ej godkänt, S672782, S703026",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S672782 S703026,2,Hästskon 12,Hamngatan 26,Norrmalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324610?dataSource=Active
2026-13207,1324634,2026-08-06,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-08-06,"Intyg återkommande besiktning, ej godkänt, D1539802",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1539802,1,Kvarnstocken 2,Rinkebystråket 53,Rinkeby,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324634?dataSource=Active
2026-13222,1324649,2026-08-06,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-06,"Intyg återkommande besiktning, ej godkänt, D1539988",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1539988,1,Brevvågen 2,Offerdalsgatan 1,Råcksta,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324649?dataSource=Active
2026-13223,1324650,2026-08-06,2026-09-22,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-06,"Intyg återkommande besiktning, ej godkänt, L7447981",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7447981,1,Hägerberget 56,Kammakargatan 12,Norrmalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324650?dataSource=Active
2025-17854,1308692,2025-11-17,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-10,"Intyg återkommande besiktning, ej godkänt, L7144110",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7144110,1,Ättegrenen 2,Älvsåkersgränd 7,Östberga,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1308692?dataSource=Active
2026-13305,1324732,2026-08-10,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-08-10,"Intyg återkommande besiktning, ej godkänt, D1539935",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1539935,1,Kvarnspelet 2,Askebykroken 22,Rinkeby,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324732?dataSource=Active
2026-13306,1324733,2026-08-10,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-08-10,"Intyg återkommande besiktning, ej godkänt, 62150",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,62150,1,Havssvalget 11,Artillerigatan 28,Östermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324733?dataSource=Active
2026-13308,1324735,2026-08-07,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-10,"Intyg återkommande besiktning, ej godkänt, L2503740",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2503740,1,Oxhuvudet 18,Kungsgatan 32,Norrmalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324735?dataSource=Active
2026-13309,1324736,2026-08-10,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-08-10,"Intyg återkommande besiktning, ej godkänt, L2625743",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2625743,1,Ritbesticket 2,Tjustgatan 4,Södermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324736?dataSource=Active
2026-13311,1324738,2026-08-07,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-10,"Intyg återkommande besiktning, ej godkänt, 41741, 42234",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,41741 42234,2,Liljan 38,Torsgatan 42,Vasastaden,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324738?dataSource=Active
2026-13312,1324739,2026-08-07,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-10,"Intyg återkommande besiktning, ej godkänt, 45360",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,45360,1,Innanhavet 1,Rorgängargatan 3,Södra Hammarbyhamnen,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324739?dataSource=Active
2026-13313,1324740,2026-08-07,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-10,"Intyg återkommande besiktning, ej godkänt, 49419",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,49419,1,Förtjusningen 1,Nordenflychtsvägen 76,Stadshagen,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324740?dataSource=Active
2026-13314,1324741,2026-08-07,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-10,"Intyg återkommande besiktning, ej godkänt, 49418",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,49418,1,Glädjen 14,Franzéngatan 10,Stadshagen,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324741?dataSource=Active
2026-13315,1324742,2026-08-07,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-10,"Intyg återkommande besiktning, ej godkänt 2 st, 49416, 52084",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,49416 52084,2,Glädjen 14,"Hornsbergs Strand 23, Hornsbergs Strand 25",Stadshagen,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324742?dataSource=Active
2025-19283,1310121,2025-12-09,,Anmaning att låta åtgärda rulltrappa samt utföra förnyad besiktning,2026-08-11,"Intyg återkommande besiktning, ej godkänt, L2751115",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,ESCALATOR_OR_MOVING_WALK,L2751115,1,Traneberg 1:13,"Information saknas för ""Adress""",Alvik,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1310121?dataSource=Active
2026-13385,1324812,2026-08-11,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-11,"Intyg återkommande besiktning, ej godkänt, (2), D1389227, D1389230",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1389227 D1389230,2,Grimsta 1:5,"Råckstavägen 4, Råckstavägen 6",Norra Ängby,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324812?dataSource=Active
2026-13404,1324831,2026-08-11,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-12,"Intyg återkommande besiktning, ej godkänt, L7895005, L7895121",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7895005 L7895121,2,Korthållaren 5,"Indalsbacken 2A, Lyckselevägen 11",Vällingby,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324831?dataSource=Active
2026-13431,1324858,2026-08-12,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-12,"Intyg återkommande besiktning, ej godkänt, D1540086",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1540086,1,Cedersdal 5,Sveavägen 160,Vasastaden,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324858?dataSource=Active
2026-13436,1324863,2026-08-12,2026-08-18,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-12,"Intyg återkommande besiktning, ej godkänt, 62620",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,62620,1,Barnhusväderkvarnen 29,Tegnérlunden 2,Vasastaden,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324863?dataSource=Active
2026-13437,1324864,2026-08-12,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-12,"Intyg återkommande besiktning, ej godkänt, L7895112",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7895112,1,Italienaren 3,Ibsengatan 70,Blackeberg,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324864?dataSource=Active
2026-13439,1324866,2026-08-12,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-12,"Intyg återkommande besiktning, ej godkänt, L2521882,  L2521873",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2521882 L2521873,2,Sandbacken Mindre 27,Nytorgsgatan 15,Södermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324866?dataSource=Active
2026-13462,1324889,2026-08-13,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-08-13,"Intyg återkommande besiktning, ej godkänt, 46208",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,46208,1,Nebulosan 1,Västmannagatan 39,Vasastaden,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324889?dataSource=Active
2026-13464,1324891,2026-08-13,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-08-13,"Intyg återkommande besiktning, ej godkänt, 46065",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,46065,1,Humlegården 50,Brahegatan 7,Östermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324891?dataSource=Active
2026-13479,1324906,2026-08-13,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-08-13,"Intyg återkommande besiktning, ej godkänt, L2576172",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2576172,1,Kastrup 10,Kastrupgatan 16,Kista,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324906?dataSource=Active
2026-12610,1324037,2026-07-13,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-08-14,"Intyg återkommande besiktning, ej godkänt, L7894757",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7894757,1,Fondbersån 1,Friherregatan 1,Hässelby Gård,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324037?dataSource=Active
2026-13516,1324943,2026-08-14,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-08-14,"Intyg återkommande besiktning, ej godkänt, D1165136",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1165136,1,Forsen 2,Skeppsmäklargatan 37,Södra Hammarbyhamnen,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324943?dataSource=Active
2026-13517,1324944,2026-08-14,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-08-14,"Intyg återkommande besiktning, ej godkänt, D1728190",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1728190,1,Muntra Fruarna 24,Tumultgränd 45,Kälvesta,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324944?dataSource=Active
2026-13518,1324945,2026-08-14,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-08-14,"Intyg återkommande besiktning, ej godkänt, 64616",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,64616,1,Sjökatten 20,Rådmansgatan 52,Vasastaden,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324945?dataSource=Active
2026-13519,1324946,2026-08-14,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-08-14,"Intyg återkommande besiktning, ej godkänt, 39154",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,39154,1,Humlegårdsmästaren 2,Kommendörsgatan 3,Östermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1324946?dataSource=Active
2026-10548,1321924,2026-06-10,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-08-18,"Intyg återkommande besiktning, ej godkänt, L7039458, L7039476 (rulltrappor) ",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7039458 L7039476,2,Helgeandsholmen 1,Riksgatan 1,Gamla Stan,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1321924?dataSource=Active
2026-13638,1325065,2026-08-17,2026-08-28,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-18,"Intyg återkommande besiktning, ej godkänt, 48277",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,48277,1,Landbyska Verket 4,Birger Jarlsgatan 24,Östermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1325065?dataSource=Active
2026-13640,1325067,2026-08-17,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-18,"Intyg återkommande besiktning, ej godkänt, L2808831",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2808831,1,Tobaksspinneriet 11,Långholmsgatan 14,Södermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1325067?dataSource=Active
2026-13646,1325073,2026-08-17,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-18,"Intyg återkommande besiktning, ej godkänt, L2808046",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2808046,1,Tången 14,Hornstulls Strand 9,Södermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1325073?dataSource=Active
2026-13650,1325077,2026-08-17,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2026-08-18,"Intyg återkommande besiktning, ej godkänt, L2526743",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2526743,1,Helsingör 5,Helsingörsgatan 35,Kista,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1325077?dataSource=Active
2026-13666,1325093,2026-08-18,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-08-18,"Intyg återkommande besiktning, ej godkänt, D1394584",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1394584,1,Kållandsö 4,Årjängsgatan 1,Farsta,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1325093?dataSource=Active
2026-13667,1325094,2026-08-18,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2026-08-18,"Intyg återkommande besiktning, ej godkänt, D1543343",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1543343,1,Limkakan 4,Lingvägen 98,Gubbängen,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1325094?dataSource=Active
